GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
81712	Show Low, AZ Urban Cluster	C	23141618	0	       8.935	       0.000	 34.236165	-110.054448                                                                                                          
81739	Shreveport, LA Urbanized Area	U	480098815	6229516	     185.367	       2.405	 32.487288	 -93.756205                                                                                                
81766	Sibley, IA Urban Cluster	C	2766531	0	       1.068	       0.000	 43.402349	 -95.744928                                                                                                             
81793	Sidney, MT Urban Cluster	C	10268578	0	       3.965	       0.000	 47.711872	-104.176297                                                                                                            
81820	Sidney, NE Urban Cluster	C	8307331	0	       3.207	       0.000	 41.136849	-102.978402                                                                                                             
81847	Sidney, NY Urban Cluster	C	9890548	149911	       3.819	       0.058	 42.303512	 -75.384757                                                                                                        
81874	Sidney, OH Urban Cluster	C	29571323	344354	      11.418	       0.133	 40.293747	 -84.162927                                                                                                       
81889	Sierra View--Indian Mountain Lake, PA Urban Cluster	C	103874167	464058	      40.106	       0.179	 40.964514	 -75.463484                                                                           
81901	Sierra Vista, AZ Urbanized Area	U	78423106	50937	      30.279	       0.020	 31.535568	-110.285492                                                                                                 
81928	Sikeston, MO Urban Cluster	C	21371024	27301	       8.251	       0.011	 36.878681	 -89.581255                                                                                                      
81955	Siler City, NC Urban Cluster	C	17909271	46121	       6.915	       0.018	 35.732860	 -79.460569                                                                                                    
81982	Siloam Springs, AR--OK Urban Cluster	C	37285306	214410	      14.396	       0.083	 36.200562	 -94.536311                                                                                           
82009	Silsbee, TX Urban Cluster	C	29668590	198013	      11.455	       0.076	 30.365594	 -94.174826                                                                                                      
82023	Silt, CO Urban Cluster	C	3023366	0	       1.167	       0.000	 39.549684	-107.652692                                                                                                               
82036	Silver City, NM Urban Cluster	C	26309409	52607	      10.158	       0.020	 32.778450	-108.266015                                                                                                   
82063	Silver Creek, NY Urban Cluster	C	6725779	17807	       2.597	       0.007	 42.551606	 -79.149167                                                                                                   
82076	Silver Lakes, CA Urban Cluster	C	5768546	1031337	       2.227	       0.398	 34.750808	-117.344111                                                                                                 
82090	Silverthorne--Frisco, CO Urban Cluster	C	23233229	77606	       8.970	       0.030	 39.632711	-106.052257                                                                                          
82117	Silverton, OR Urban Cluster	C	10035319	42776	       3.875	       0.017	 45.003671	-122.775459                                                                                                     
82144	Simi Valley, CA Urbanized Area	U	81413057	1899016	      31.434	       0.733	 34.269707	-118.746872                                                                                                
82171	Sinton, TX Urban Cluster	C	5746831	0	       2.219	       0.000	 28.033572	 -97.506841                                                                                                             
82198	Sioux Center, IA Urban Cluster	C	9403215	0	       3.631	       0.000	 43.078031	 -96.171517                                                                                                       
82225	Sioux City, IA--NE--SD Urbanized Area	U	140775498	2131847	      54.354	       0.823	 42.482033	 -96.401324                                                                                        
82252	Sioux Falls, SD Urbanized Area	U	166201095	1226398	      64.171	       0.474	 43.533494	 -96.735632                                                                                               
82279	Sissonville, WV Urban Cluster	C	7402989	45495	       2.858	       0.018	 38.479017	 -81.660217                                                                                                    
82306	Sitka, AK Urban Cluster	C	10510356	95452	       4.058	       0.037	 57.056030	-135.294114                                                                                                         
82333	Skaneateles, NY Urban Cluster	C	7265732	0	       2.805	       0.000	 42.950945	 -76.428007                                                                                                        
82360	Skiatook, OK Urban Cluster	C	9590360	68944	       3.703	       0.027	 36.363587	 -96.016739                                                                                                       
82387	Skowhegan, ME Urban Cluster	C	8004558	105055	       3.091	       0.041	 44.778149	 -69.712196                                                                                                     
82414	Slaton, TX Urban Cluster	C	6552106	11252	       2.530	       0.004	 33.435263	-101.649413                                                                                                         
82441	Sleepy Eye, MN Urban Cluster	C	3949171	7252	       1.525	       0.003	 44.296742	 -94.722119                                                                                                      
82468	Slidell, LA Urbanized Area	U	151642073	5466160	      58.549	       2.110	 30.294417	 -89.791275                                                                                                   
82495	Slippery Rock, PA Urban Cluster	C	8467496	0	       3.269	       0.000	 41.062533	 -80.050842                                                                                                      
82522	Smithfield, NC Urban Cluster	C	61225740	154031	      23.639	       0.059	 35.530612	 -78.358420                                                                                                   
82549	Smithfield, VA Urban Cluster	C	24801534	287942	       9.576	       0.111	 36.980049	 -76.592973                                                                                                   
82562	Smithton, IL Urban Cluster	C	6165947	309522	       2.381	       0.120	 38.393100	 -89.995868                                                                                                      
82603	Smithville, TN Urban Cluster	C	8259493	0	       3.189	       0.000	 35.953689	 -85.825939                                                                                                         
82630	Smithville, TX Urban Cluster	C	5195406	4225	       2.006	       0.002	 30.005703	 -97.151835                                                                                                      
82641	Smithville North, MO Urban Cluster	C	4064227	0	       1.569	       0.000	 39.436392	 -94.563015                                                                                                   
82665	Sneads Ferry, NC Urban Cluster	C	13917664	1087083	       5.374	       0.420	 34.540524	 -77.383919                                                                                                
82675	Snoqualmie, WA Urban Cluster	C	30978113	300294	      11.961	       0.116	 47.534618	-121.877055                                                                                                   
82684	Snowflake, AZ Urban Cluster	C	12803233	0	       4.943	       0.000	 34.505384	-110.083373                                                                                                         
82711	Snyder, TX Urban Cluster	C	17782301	72772	       6.866	       0.028	 32.714580	-100.914800                                                                                                        
82724	Social Circle, GA Urban Cluster	C	9245866	53201	       3.570	       0.021	 33.670125	 -83.718433                                                                                                  
82738	Socorro, NM Urban Cluster	C	15975818	25853	       6.168	       0.010	 34.064020	-106.898182                                                                                                       
82765	Soda Springs, ID Urban Cluster	C	5965323	132294	       2.303	       0.051	 42.683262	-111.584809                                                                                                  
82792	Sodus, NY Urban Cluster	C	6019480	0	       2.324	       0.000	 43.239049	 -77.061871                                                                                                              
82819	Soldotna, AK Urban Cluster	C	18828106	635978	       7.270	       0.246	 60.483079	-151.111452                                                                                                     
82846	Soledad, CA Urban Cluster	C	10717845	23207	       4.138	       0.009	 36.431116	-121.329208                                                                                                       
82873	Solvang--Buellton--Santa Ynez, CA Urban Cluster	C	19757333	2595	       7.628	       0.001	 34.612975	-120.094827                                                                                  
82900	Somerset, KY Urban Cluster	C	89464296	1395162	      34.542	       0.539	 37.064874	 -84.626218                                                                                                    
82913	Somerset, MI Urban Cluster	C	8693482	3311454	       3.357	       1.279	 42.058488	 -84.412970                                                                                                     
82927	Somerset, PA Urban Cluster	C	20258276	0	       7.822	       0.000	 40.006313	 -79.066916                                                                                                          
82937	Somerset, WI Urban Cluster	C	5298114	0	       2.046	       0.000	 45.127627	 -92.672089                                                                                                           
82981	Somerton, AZ Urban Cluster	C	19755596	3867	       7.628	       0.001	 32.580192	-114.647366                                                                                                       
83008	Sonoma, CA Urban Cluster	C	32188801	0	      12.428	       0.000	 38.299143	-122.476540                                                                                                            
83062	Sonora, TX Urban Cluster	C	5021295	0	       1.939	       0.000	 30.567918	-100.644350                                                                                                             
83073	Sonora--Jamestown--Phoenix Lake, CA Urban Cluster	C	80816255	559492	      31.203	       0.216	 38.001669	-120.317395                                                                              
83089	Soperton, GA Urban Cluster	C	6427690	91756	       2.482	       0.035	 32.372690	 -82.596427                                                                                                       
83116	South Bend, IN--MI Urbanized Area	U	417220128	8382883	     161.090	       3.237	 41.714357	 -86.201743                                                                                            
83143	South Boston, VA Urban Cluster	C	17726157	60704	       6.844	       0.023	 36.727461	 -78.911876                                                                                                  
83156	South Deerfield, MA Urban Cluster	C	17073320	211717	       6.592	       0.082	 42.434253	 -72.564163                                                                                              
83210	South Fallsburg, NY Urban Cluster	C	8627769	24659	       3.331	       0.010	 41.724769	 -74.617933                                                                                                
83251	South Haven, MI Urban Cluster	C	13578479	262194	       5.243	       0.101	 42.394828	 -86.269633                                                                                                  
83278	South Hill, VA Urban Cluster	C	12520791	86575	       4.834	       0.033	 36.722110	 -78.115354                                                                                                    
83305	South Lake Tahoe, CA--NV Urban Cluster	C	43086828	570993	      16.636	       0.220	 38.860820	-120.011407                                                                                         
83332	South Lyon--Howell, MI Urbanized Area	U	265989397	24405918	     102.699	       9.423	 42.507278	 -83.806042                                                                                       
83359	Southold, NY Urban Cluster	C	28785572	2506145	      11.114	       0.968	 41.081036	 -72.395374                                                                                                    
83368	South Paris, ME Urban Cluster	C	11658068	263788	       4.501	       0.102	 44.215590	 -70.521238                                                                                                  
83377	South Pittsburg, TN--AL Urban Cluster	C	12763495	0	       4.928	       0.000	 34.946033	 -85.726239                                                                                               
83386	South Vacherie, LA Urban Cluster	C	3826012	10034	       1.477	       0.004	 29.935533	 -90.695285                                                                                                 
83440	Sparta, GA Urban Cluster	C	9971569	44375	       3.850	       0.017	 33.275141	 -82.973767                                                                                                         
83467	Sparta, IL Urban Cluster	C	6203063	14691	       2.395	       0.006	 38.129284	 -89.704753                                                                                                         
83480	Sparta, MI Urban Cluster	C	4470726	4498	       1.726	       0.002	 43.156675	 -85.708595                                                                                                          
83494	Sparta, TN Urban Cluster	C	16526706	0	       6.381	       0.000	 35.934817	 -85.479685                                                                                                            
83521	Sparta, WI Urban Cluster	C	14011931	0	       5.410	       0.000	 43.938965	 -90.816362                                                                                                            
83548	Spartanburg, SC Urbanized Area	U	492292539	7744309	     190.075	       2.990	 34.974865	 -81.989514                                                                                               
83575	Spearfish, SD Urban Cluster	C	15826201	0	       6.111	       0.000	 44.494386	-103.854997                                                                                                         
83602	Spearman, TX Urban Cluster	C	3966314	0	       1.531	       0.000	 36.194103	-101.194145                                                                                                           
83629	Spencer, IA Urban Cluster	C	15982377	349225	       6.171	       0.135	 43.143744	 -95.156558                                                                                                      
83656	Spencer, WV Urban Cluster	C	5100227	43852	       1.969	       0.017	 38.810979	 -81.361809                                                                                                        
83710	Spirit Lake, IA Urban Cluster	C	30080964	4444714	      11.614	       1.716	 43.390905	 -95.116367                                                                                                 
83764	Spokane, WA Urbanized Area	U	425287384	5139892	     164.204	       1.985	 47.680430	-117.352257                                                                                                   
83791	Spooner, WI Urban Cluster	C	4373189	115507	       1.688	       0.045	 45.822135	 -91.890379                                                                                                       
83818	Spout Springs, NC Urban Cluster	C	45858057	1342247	      17.706	       0.518	 35.272911	 -79.047306                                                                                               
83851	Spring Creek North, NV Urban Cluster	C	8547452	2334	       3.300	       0.001	 40.806218	-115.664538                                                                                              
83859	Spring Creek South, NV Urban Cluster	C	14567432	137195	       5.625	       0.053	 40.729553	-115.589359                                                                                           
83872	Springfield, GA Urban Cluster	C	6331763	0	       2.445	       0.000	 32.367258	 -81.313240                                                                                                        
83899	Springfield, IL Urbanized Area	U	239169931	6319393	      92.344	       2.440	 39.786626	 -89.642412                                                                                               
83926	Springfield, MA--CT Urbanized Area	U	902738176	26870551	     348.549	      10.375	 42.125901	 -72.573958                                                                                          
83953	Springfield, MO Urbanized Area	U	368661128	1617210	     142.341	       0.624	 37.148873	 -93.287053                                                                                               
83980	Springfield, OH Urbanized Area	U	126811631	328699	      48.962	       0.127	 39.937651	 -83.813008                                                                                                
83993	Springfield, TN Urban Cluster	C	31703302	0	      12.241	       0.000	 36.485193	 -86.877108                                                                                                       
84007	Springfield, VT Urban Cluster	C	7994168	215812	       3.087	       0.083	 43.309922	 -72.500521                                                                                                   
84024	Spring Hill, FL Urbanized Area	U	297965606	10359315	     115.045	       4.000	 28.487992	 -82.524297                                                                                              
84034	Spring Hill, KS Urban Cluster	C	9229586	58728	       3.564	       0.023	 38.740719	 -94.821420                                                                                                    
84061	Springhill, LA Urban Cluster	C	14100229	62504	       5.444	       0.024	 32.992521	 -93.456663                                                                                                    
84088	Spring Hill, TN Urban Cluster	C	56310952	53276	      21.742	       0.021	 35.741634	 -86.914273                                                                                                   
84115	Springs, NY Urban Cluster	C	35927938	148052	      13.872	       0.057	 40.976183	 -72.177786                                                                                                      
84124	Springtown, TX Urban Cluster	C	5598989	0	       2.162	       0.000	 32.968616	 -97.683875                                                                                                         
84132	Springville, AL Urban Cluster	C	6585757	30256	       2.543	       0.012	 33.771477	 -86.481780                                                                                                    
84142	Springville, NY Urban Cluster	C	6425511	51958	       2.481	       0.020	 42.509449	 -78.672528                                                                                                    
84155	Spruce Pine, NC Urban Cluster	C	19217744	0	       7.420	       0.000	 35.924271	 -82.036916                                                                                                       
84169	Stafford Springs, CT Urban Cluster	C	14883768	132265	       5.747	       0.051	 41.967751	 -72.295411                                                                                             
84223	Stamford, TX Urban Cluster	C	4752974	15815	       1.835	       0.006	 32.942336	 -99.795358                                                                                                       
84277	Stanford, KY Urban Cluster	C	8292696	70318	       3.202	       0.027	 37.539395	 -84.661709                                                                                                       
84290	Stanley, WI Urban Cluster	C	4552897	1534	       1.758	       0.001	 44.957672	 -90.939678                                                                                                         
84304	Stansbury Park, UT Urban Cluster	C	7489732	490768	       2.892	       0.189	 40.638698	-112.295766                                                                                                
84331	Stanton, KY Urban Cluster	C	9540342	138894	       3.684	       0.054	 37.844833	 -83.858983                                                                                                       
84385	Stanwood, WA Urban Cluster	C	7008761	0	       2.706	       0.000	 48.245363	-122.342081                                                                                                           
84412	Staples, MN Urban Cluster	C	3549688	0	       1.371	       0.000	 46.361682	 -94.794591                                                                                                            
84429	Star, ID Urban Cluster	C	8565015	52861	       3.307	       0.020	 43.697245	-116.492027                                                                                                           
84439	Starke, FL Urban Cluster	C	11707786	0	       4.520	       0.000	 29.945310	 -82.104755                                                                                                            
84466	Starkville, MS Urban Cluster	C	44108630	249133	      17.030	       0.096	 33.454952	 -88.812822                                                                                                   
84493	State College, PA Urbanized Area	U	74701531	0	      28.842	       0.000	 40.799272	 -77.858084                                                                                                    
84547	Statesboro, GA Urban Cluster	C	66049697	1961888	      25.502	       0.757	 32.426630	 -81.792528                                                                                                  
84601	Staunton, IL Urban Cluster	C	12876222	187489	       4.972	       0.072	 39.001770	 -89.777343                                                                                                     
84630	Staunton--Waynesboro, VA Urbanized Area	U	98780675	466512	      38.139	       0.180	 38.119039	 -78.991274                                                                                        
84655	Stayton, OR Urban Cluster	C	8641961	0	       3.337	       0.000	 44.815998	-122.792584                                                                                                            
84682	Steamboat Springs, CO Urban Cluster	C	21144912	0	       8.164	       0.000	 40.461868	-106.818853                                                                                                 
84736	Steeleville, IL Urban Cluster	C	6251423	16627	       2.414	       0.006	 38.014504	 -89.630125                                                                                                    
84763	Stephenville, TX Urban Cluster	C	20838427	4727	       8.046	       0.002	 32.219277	 -98.221125                                                                                                   
84790	Sterling, CO Urban Cluster	C	16799023	0	       6.486	       0.000	 40.625467	-103.216103                                                                                                          
84817	Sterling, IL Urban Cluster	C	37018290	1561197	      14.293	       0.603	 41.788363	 -89.696825                                                                                                    
84871	Stevens Point, WI Urban Cluster	C	62398780	2249425	      24.092	       0.869	 44.511291	 -89.551677                                                                                               
84925	Stewartstown, PA Urban Cluster	C	6415841	0	       2.477	       0.000	 39.755910	 -76.590782                                                                                                       
84952	Stewartville, MN Urban Cluster	C	6613983	0	       2.554	       0.000	 43.860502	 -92.487539                                                                                                       
84979	Stigler, OK Urban Cluster	C	5991083	0	       2.313	       0.000	 35.257269	 -95.121041                                                                                                            
85033	Stillwater, OK Urban Cluster	C	53158356	1097487	      20.525	       0.424	 36.120763	 -97.072739                                                                                                  
85060	Stilwell, OK Urban Cluster	C	6043564	19438	       2.333	       0.008	 35.812659	 -94.633442                                                                                                       
85087	Stockton, CA Urbanized Area	U	239628112	4315880	      92.521	       1.666	 37.961908	-121.287516                                                                                                  
85114	Storm Lake, IA Urban Cluster	C	9774708	1586	       3.774	       0.001	 42.643478	 -95.202105                                                                                                      
